Date,Open,High,Low,Close,Volume,SP500,Oil,DollarIndex
8/23/2000,1.82,1.98,1.75,1.94,94426000,1505.97,32.05,111.33
8/24/2000,1.98,2.03,1.94,1.97,94380000,1508.31,31.63,111.14
8/25/2000,1.96,2,1.93,2,54172000,1506.45,32.05,111.24
8/28/2000,1.94,2.12,1.93,1.96,183570000,1514.09,32.87,111.4
8/29/2000,1.98,2.04,1.94,1.98,90422000,1509.84,32.72,112.15
8/30/2000,2.12,2.2,2.1,2.15,258392000,1502.59,33.4,112.08
8/31/2000,2.16,2.16,2.07,2.08,92326000,1517.68,33.1,112.57
9/1/2000,2.11,2.12,2.05,2.08,66942000,1520.77,33.38,111.33
9/5/2000,2.05,2.32,2.01,2.28,203364000,1507.08,33.8,112.4
9/6/2000,2.36,2.48,2.28,2.29,285264000,1492.25,34.95,114.1
9/7/2000,2.34,2.35,2.15,2.17,148124000,1502.51,35.33,113.68
9/8/2000,2.2,2.25,2.12,2.15,101778000,1494.5,33.7,114.37
9/11/2000,2.13,2.26,2.11,2.12,108942000,1489.26,35.1,115.4
9/12/2000,2.17,2.21,2.11,2.13,76430000,1481.99,34.2,115.13
9/13/2000,2.07,2.16,2.05,2.12,81700000,1484.91,33.8,115.34
9/14/2000,2.21,2.3,2.19,2.24,139270000,1480.87,34.1,115.18
9/15/2000,2.27,2.27,2.14,2.18,123604000,1465.81,35.85,115.97
9/18/2000,2.17,2.23,2.09,2.14,88904000,1444.51,36.88,116.01
9/19/2000,2.1,2.14,1.96,2.04,144616000,1459.9,36.5,116.13
9/20/2000,2.02,2.03,1.87,1.88,194896000,1451.34,37.5,116.29
9/21/2000,1.87,2.03,1.86,2,148512000,1449.05,33.95,115
9/22/2000,1.92,2.11,1.92,2.07,119924000,1448.72,32.65,113.34
9/25/2000,2.06,2.13,2,2.02,109198000,1439.03,31.57,113.84
9/26/2000,2.03,2.06,1.98,1.99,85208000,1427.21,31.5,113.01
9/27/2000,1.93,1.98,1.77,1.89,200618000,1426.57,31.5,112.87
9/28/2000,1.87,2.01,1.86,2,117158000,1458.29,30.3,113.17
