Date,Open,High,Low,Close,Volume,SP500,Oil,DollarIndex,SMA_5,RSI_14,Close_lag1,Close_lag2
2000-09-12,2.17,2.21,2.11,2.13,76430000,1481.99,34.2,115.13,2.1719999999999997,62.66666666666667,2.12,2.15
2000-09-13,2.07,2.16,2.05,2.12,81700000,1484.91,33.8,115.34,2.138,61.84210526315791,2.13,2.12
2000-09-14,2.21,2.3,2.19,2.24,139270000,1480.87,34.1,115.18,2.152,65.88235294117649,2.12,2.13
2000-09-15,2.27,2.27,2.14,2.18,123604000,1465.81,35.85,115.97,2.158,60.22727272727274,2.24,2.12
2000-09-18,2.17,2.23,2.09,2.14,88904000,1444.51,36.88,116.01,2.162,60.22727272727274,2.18,2.24
2000-09-19,2.1,2.14,1.96,2.04,144616000,1459.9,36.5,116.13,2.1439999999999997,53.12500000000001,2.14,2.18
2000-09-20,2.02,2.03,1.87,1.88,194896000,1451.34,37.5,116.29,2.096,35.78947368421052,2.04,2.14
2000-09-21,1.87,2.03,1.86,2.0,148512000,1449.05,33.95,115.0,2.048,45.99999999999999,1.88,2.04
2000-09-22,1.92,2.11,1.92,2.07,119924000,1448.72,32.65,113.34,2.0260000000000002,49.53271028037382,2.0,1.88
2000-09-25,2.06,2.13,2.0,2.02,109198000,1439.03,31.57,113.84,2.002,35.86956521739131,2.07,2.0
2000-09-26,2.03,2.06,1.98,1.99,85208000,1427.21,31.5,113.01,1.9919999999999998,34.04255319148936,2.02,2.07
2000-09-27,1.93,1.98,1.77,1.89,200618000,1426.57,31.5,112.87,1.9939999999999998,34.78260869565217,1.99,2.02
2000-09-28,1.87,2.01,1.86,2.0,117158000,1458.29,30.3,113.17,1.9939999999999998,42.57425742574258,1.89,1.99
2000-09-29,1.95,2.06,1.88,1.92,130342000,1436.51,30.86,113.0,1.964,40.56603773584905,2.0,1.89
2000-10-02,1.91,1.92,1.76,1.79,109554000,1436.23,32.15,113.55,1.918,35.59322033898306,1.92,2.0
2000-10-03,1.84,1.86,1.75,1.75,107598000,1426.46,32.07,114.02,1.8699999999999999,34.710743801652896,1.79,1.92
2000-10-04,1.67,1.85,1.62,1.8,156822000,1434.32,31.5,113.88,1.8519999999999999,30.701754385964904,1.75,1.79
2000-10-05,1.76,1.83,1.6,1.68,139326000,1436.28,30.65,114.54,1.7879999999999998,29.166666666666657,1.8,1.75
2000-10-06,1.62,1.66,1.51,1.58,177422000,1408.99,30.85,114.6,1.72,27.77777777777777,1.68,1.8
2000-10-09,1.51,1.53,1.37,1.5,254550000,1402.03,31.88,114.52,1.6620000000000001,28.22580645161291,1.58,1.68
2000-10-10,1.49,1.64,1.44,1.52,145310000,1387.02,33.15,114.05,1.616,33.636363636363654,1.5,1.58
2000-10-11,1.4,1.51,1.38,1.39,157794000,1364.59,33.15,114.23,1.534,22.52252252252252,1.52,1.5
2000-10-12,1.42,1.44,1.23,1.26,160652000,1329.78,36.1,114.73,1.45,15.384615384615401,1.39,1.52
2000-10-13,1.21,1.44,1.17,1.42,152668000,1374.17,35.05,115.71,1.418,26.5625,1.26,1.39
2000-10-16,1.41,1.42,1.21,1.22,142954000,1374.62,33.1,116.27,1.362,23.448275862068968,1.42,1.26
2000-10-17,1.24,1.26,1.04,1.1,302810000,1349.97,32.95,115.71,1.278,23.12925170068027,1.22,1.42
2000-10-18,0.99,1.27,0.97,1.26,375774000,1342.13,33.55,117.26,1.252,25.657894736842096,1.1,1.22
2000-10-19,1.33,1.41,1.21,1.39,217498000,1388.76,32.95,116.85,1.278,33.12101910828025,1.26,1.1
2000-10-20,1.38,1.56,1.36,1.54,232438000,1396.93,34.3,117.06,1.302,42.13836477987421,1.39,1.26
2000-10-23,1.48,1.52,1.38,1.5,203992000,1395.78,33.73,117.44,1.358,42.13836477987421,1.54,1.39
2000-10-24,1.49,1.69,1.44,1.48,273532000,1398.13,33.37,117.34,1.434,39.743589743589745,1.5,1.54
2000-10-25,1.7,1.83,1.59,1.59,571458000,1364.9,32.96,118.45,1.5,47.0967741935484,1.48,1.5
2000-10-26,1.61,1.88,1.55,1.84,356510000,1364.44,33.75,118.42,1.59,57.647058823529406,1.59,1.48
