,Open,High,Low,Close,Volume,SP500,Oil,DollarIndex
Count   ,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0,6109.0
Mean    ,44.99,45.51,44.43,44.98,117066427.83,2131.96,64.65,92.17
Median  ,12.49,12.65,12.36,12.49,95060000.0,1514.09,63.69,92.26
Mode    ,1.77,1.98,1.76,1.77,58272000.0,1097.28,26.86,80.25
Min     ,0.3,0.31,0.28,0.3,15007500.0,676.53,-37.63,71.3
Max     ,232.39,233.0,228.01,232.93,2086584000.0,6090.27,145.29,121.21
Q1      ,2.38,2.42,2.33,2.39,61932000.0,1195.9,45.64,82.32
Q2      ,12.49,12.65,12.36,12.49,95060000.0,1514.09,63.69,92.26
Q3      ,86.1,86.98,84.66,85.97,142646000.0,2784.7,82.81,99.19
IQR     ,83.72,84.56,82.33,83.58,80714000.0,1588.8,37.17,16.87
Variance,3442.45,3520.37,3358.15,3439.94,9222667675028486.0,1576964.26,627.61,125.76
Stdev   ,58.67,59.33,57.95,58.65,96034721.2,1255.77,25.05,11.21
